Hash,Score,Verdict
03a35f49b8ccd13cb1f47822cc23b547b01cd8b4f4a0b54d3ec34d6ba2c5b7cf,26,Highly Malicious
a46bee5cf4a75e8c909a2ba10879e2b50a03c3c314d203c2fb507982ed62f7e0,68,Highly Malicious
dcb76db87a9aba556162e1c572ba6b9321bfc422bbffeff8209aaac7e5280098,48,Highly Malicious
852ff4f0970518ebf1c5e2bbb70574b11c9e52439fa22ab8a7f124614f7c4ba7,40,Highly Malicious
d24e5960b9ce0ba4a053ac20f68d06ea,41,Highly Malicious
